"30 mins","33394.2043,32909.1642","Per min charging. Parking charge between 10.30pm & 7am is capped at $5.","ALJUNIED ROAD OFF STREET","07.00 AM","$0.60","07.00 AM","A0046","$0.60","30 mins","30 mins","B","13","Car","$0.60"
"30 mins","29661.3865,40850.2452","Parking charge between 10.30pm & 7am is capped at $5.","ANG MO KIO STREET 63 ","07.00 AM","$0.60","07.00 AM","A0048","$0.60","30 mins","30 mins","C","45","Car","$0.60"
"30 mins","34545.6529,42136.4114","Reserved for Season Ticket Holders from 7.00 pm to 7.00 am daily.","ANCHORVALE CRESCENT HEAVY VEHICLE PARK","07.00 PM","$1.20","07.00 AM","A0052","$1.20","30 mins","30 mins","C","298","Heavy Vehicle","$1.20"
"30 mins","34042.9072,41984.3988","Parking charge between 10.30pm & 7am is capped at $5.","ANCHORVALE ROAD ","07.00 AM","$0.60","07.00 AM","A0053","$0.60","30 mins","30 mins","C","38","Car","$0.60"
"30 mins","33882.9035,42162.508","Parking charge between 10.30pm & 7am is capped at $5.","ANCHORVALE STREET ","07.00 AM","$0.60","07.00 AM","A0054","$0.60","30 mins","30 mins","C","66","Car","$0.60"
"30 mins","33699.8791,37452.5108","Parking charge between 10.30pm & 7am is capped at $5.","AROOZOO AVENUE ","07.00 AM","$0.60","07.00 AM","A0057","$0.60","30 mins","30 mins","C","9","Car","$0.60"
"30 mins","25331.1094,34088.1902","-","BUKIT TIMAH ROAD ","05.00 PM","$0.60","08.30 AM","B0001","$0.00","30 mins","0 mins","C","11","Car","$0.60"
"30 mins","30966.0812,31522.0261","-","BAGHDAD STREET ","10.00 PM","$0.60","08.30 AM","B0002","$0.60","30 mins","30 mins","C","20","Car","$0.60"
"30 mins","29190.8457,29288.0166","-","BANDA STREET / SAGO LANE OFF STREET","05.00 PM","$1.20","08.30 AM","B0005","$0.60","30 mins","30 mins","C","60","Car","$1.20"
"30 mins","29190.8457,29288.0166","-","BANDA STREET / SAGO LANE OFF STREET","10.00 PM","$0.60","05.00 PM","B0005","$0.60","30 mins","30 mins","C","60","Car","$0.60"
"30 mins","29190.8457,29288.0166","-","BANDA STREET / SAGO LANE OFF STREET","05.00 PM","$2.40","08.30 AM","B0005","$1.20","30 mins","30 mins","C","5","Heavy Vehicle","$2.40"
"30 mins","29190.8457,29288.0166","-","BANDA STREET / SAGO LANE OFF STREET","10.00 PM","$1.20","05.00 PM","B0005","$1.20","30 mins","30 mins","C","5","Heavy Vehicle","$1.20"
"DAY","29190.8457,29288.0166","-","BANDA STREET / SAGO LANE OFF STREET","10.00 PM","$0.65","08.30 AM","B0005","$0.65","DAY","DAY","C","5","Motorcycle","$0.65"
"30 mins","30895.274,32925.6941","-","BEATTY ROAD ","10.00 PM","$0.60","08.30 AM","B0008","$0.60","30 mins","30 mins","C","32","Car","$0.60"
"","30758.961,32953.8746","-","-","-","-","-","-","-","-","-","-","-","-","-"
"30 mins","30293.3291,32587.3226","-","BIRCH ROAD ","10.00 PM","$0.60","08.30 AM","B0011","$0.60","30 mins","30 mins","C","19","Car","$0.60"
"30 mins","28826.4311,29044.9458","-","BUKIT PASOH ROAD ","05.00 PM","$1.20","08.30 AM","B0018","$0.60","30 mins","30 mins","C","43","Car","$1.20"
"30 mins","28826.4311,29044.9458","-","BUKIT PASOH ROAD ","10.00 PM","$0.60","05.00 PM","B0018","$0.60","30 mins","30 mins","C","43","Car","$0.60"
"30 mins","30974.3926,31478.2684","No parking on Friday from 6:00pm to 12:00am.  No parking on Saturday and Sunday from 12:00pm to 12:00am.","BUSSORAH STREET ","10.00 PM","$0.60","08.30 AM","B0020","$0.60","30 mins","30 mins","C","13","Car","$0.60"
"30 mins","30994.5678,32711.1398","-","BEATTY LANE ","10.00 PM","$0.60","08.30 AM","B0022","$0.60","30 mins","30 mins","C","15","Car","$0.60"
"30 mins","31590.1042,33984.3865","Parking charge between 10.30pm & 7am is capped at $5.","BENG WAN ROAD OFF STREET","07.00 AM","$0.60","07.00 AM","B0023","$0.00","30 mins","0 mins","C","41","Car","$0.60"
"30 mins","30792.3841,31500.7499","No parking on Friday from 6:00pm to 12:00am.  No parking on Saturday and Sunday from 12:00pm to 12:00am.","BALI LANE ","10.00 PM","$0.60","08.30 AM","B0025","$0.60","30 mins","30 mins","C","6","Car","$0.60"
"30 mins","30212.0634,33765.4334","-","BALESTIER ROAD ","10.00 PM","$0.60","08.30 AM","B0028","$0.60","30 mins","30 mins","C","5","Car","$0.60"
"30 mins","29816.1477,34101.8351","-","BHAMO ROAD ","10.00 PM","$0.60","08.30 AM","B0029","$0.60","30 mins","30 mins","C","9","Car","$0.60"
"30 mins","30925.4708,32933.2541","Per min charging. Parking charge between 10.30pm & 7am is capped at $5.","BEATTY ROAD OFF STREET","07.00 AM","$0.60","07.00 AM","B0031","$0.60","30 mins","30 mins","B","17","Car","$0.60"
"30 mins","30925.4708,32933.2541","Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.","BEATTY ROAD OFF STREET","07.00 AM","$0.10","07.00 AM","B0031","$0.10","30 mins","30 mins","B","4","Motorcycle","$0.10"
"30 mins","21665.164,35695.2402","Per min charging. Parking charge between 10.30pm & 7am is capped at $5.","BUKIT TIMAH MARKET OFF STREET","07.00 AM","$0.60","07.00 AM","B0032","$0.60","30 mins","30 mins","B","117","Car","$0.60"
"30 mins","21665.164,35695.2402","Per min charging. Parking charge between 7am & 10.30pm and between 10.30pm & 7am respectively is capped at $0.65.","BUKIT TIMAH MARKET OFF STREET","07.00 AM","$0.10","07.00 AM","B0032","$0.10","30 mins","30 mins","B","29","Motorcycle","$0.10"
"30 mins","29803.4139,34271.7315","-","BOON TECK ROAD ","10.00 PM","$0.60","08.30 AM","B0033","$0.60","30 mins","30 mins","C","6","Car","$0.60"
"30 mins","30044.9978,32194.9424","-","BELILIOS LANE OFF STREET","10.00 PM","$0.60","08.30 AM","B0035","$0.60","30 mins","30 mins","C","35","Car","$0.60"
"30 mins","11422.2059,33540.1602","-","BENOI SECTOR ","05.00 PM","$0.60","08.30 AM","B0042","$0.00","30 mins","0 mins","C","14","Car","$0.60"
"30 mins","28318.7963,28736.9604","-","BLAIR ROAD ","05.00 PM","$1.20","07.00 AM","B0045","$0.60","30 mins","30 mins","C","42","Car","$1.20"
"30 mins","28318.7963,28736.9604","Reserved for Season Ticket Holders from 10.00 pm to 7.00 am daily.","BLAIR ROAD ","10.00 PM","$0.60","05.00 PM","B0045","$0.60","30 mins","30 mins","C","42","Car","$0.60"
